 Populations,2007,2008,2009,2010
 Total,10582   ,10470   ,10181   ,9993   
 Sex,   ,   ,   ,   
   Male,3747   ,3846   ,3771   ,3629   
   Female,6835   ,6624   ,6410   ,6364   

